Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C1	C0402R	1.682	1.891	1.682	1.891	1.707	1.891	Top	180.0
C2	C0402R	1.784	2.034	1.784	2.034	1.784	2.059	Top	-90.0
C3	C0805R	1.517	1.975	1.517	1.975	1.517	2.014	Top	-90.0
C4	C0603R	1.217	1.724	1.217	1.724	1.217	1.690	Top	90.0
C5	C0603R	1.317	1.724	1.317	1.724	1.317	1.690	Top	90.0
C6	C0402R	1.682	1.836	1.682	1.836	1.707	1.836	Top	180.0
D1	SMA	1.693	2.357	1.693	2.357	1.693	2.357	Top	180.0
D3	0603-.8x.85	1.216	1.270	1.216	1.270	1.216	1.270	Top	0.0
MOD1	ROBOTDYN_PROMINI	1.417	1.894	2.067	2.244	1.917	2.194	Top	180.0
R1	R0603R	1.665	1.428	1.665	1.428	1.631	1.428	Top	0.0
R10	R0603R	2.008	3.976	2.008	3.976	2.008	3.942	Top	90.0
R11	R0603R	0.990	3.978	0.990	3.978	0.990	3.944	Top	90.0
R12	R0603R	0.915	3.578	0.915	3.578	0.949	3.578	Top	180.0
R13	R0603R	0.862	2.428	0.862	2.428	0.896	2.428	Top	180.0
R14	R0603R	0.817	1.469	0.817	1.469	0.817	1.504	Top	-90.0
R15	R0603R	1.317	1.435	1.317	1.435	1.317	1.401	Top	90.0
R16	R0603R	1.042	1.744	1.042	1.744	1.042	1.779	Top	-90.0
R17	R0603R	0.915	3.028	0.915	3.028	0.881	3.028	Top	0.0
R18	R0603R	1.115	1.453	1.115	1.453	1.115	1.487	Top	-90.0
R19	R0603R	0.917	1.469	0.917	1.469	0.917	1.435	Top	90.0
R2	R0603R	0.912	2.846	0.912	2.846	0.946	2.846	Top	180.0
R20	R0603R	2.045	1.423	2.045	1.423	2.045	1.389	Top	90.0
R21	R0603R	2.213	1.160	2.213	1.160	2.213	1.126	Top	90.0
R22	R0603R	1.912	1.996	1.912	1.996	1.947	1.996	Top	180.0
R23	R0603R	0.390	0.912	0.390	0.912	0.424	0.912	Top	180.0
R24	R0603R	0.390	1.030	0.390	1.030	0.424	1.030	Top	180.0
R25	R0603R	1.865	0.886	1.865	0.886	1.831	0.886	Top	0.0
R26	R0603R	1.865	0.965	1.865	0.965	1.831	0.965	Top	0.0
R27	R0603R	1.865	1.043	1.865	1.043	1.899	1.043	Top	180.0
R3	R0603R	1.042	1.894	1.042	1.894	1.042	1.929	Top	-90.0
R4	R0603R	1.124	1.360	1.124	1.360	1.090	1.360	Top	0.0
R5	R0603R	0.917	1.344	0.917	1.344	0.917	1.310	Top	90.0
R6	R0603R	1.217	1.436	1.217	1.436	1.217	1.402	Top	90.0
R7	R0603R	1.442	1.319	1.442	1.319	1.476	1.319	Top	180.0
R8	R0603R	1.895	2.548	1.895	2.548	1.861	2.548	Top	0.0
R9	R0603R	1.995	3.578	1.995	3.578	1.961	3.578	Top	0.0
SW1	C_AND_K_L204--MS02	1.122	0.931	1.122	0.931	1.484	0.819	Top	90.0
SW2	CK_PTS830_S	2.122	3.057	2.122	3.057	2.191	3.024	Top	180.0
SW3	CK_PTS830_S	2.519	0.788	2.519	0.788	2.450	0.821	Top	0.0
U2	SOT23-6	1.669	1.995	1.669	1.995	1.714	1.957	Top	90.0
