
	Design Report For Purchasing		Assembly part number: 
	Design by Robert Rau  		Design Status: UNFINISHED
	Design report for Purchasing Using Build attribute for Production
	Generated by:  RPDRP020.rfm Form
	Circuit:  SnapCircuit7SegDecodeArduino  
	Circuit rev.:   Drawing rev.:
	Date:  Thursday, January 18, 2024    9:33 PM
	
											Sample	Second Src.	Second Src.	Second Src.	Sample	Third Src.	Third Src.	Third Src.	Sample	Supporting
Qty	Description	Build	Value	Part Num	Cost 100	Cost 1000	Cost 10000	Mfg PN	Manufacturer	Vendor	Needed	Mfg PN	Manufacturer	Vendor	Needed	Mfg PN	Manufacturer	Vendor	Needed	Distributor	Package	Designators	Web Link
1	Capacitor,Ceramic,X5R,MultiLayer Monolithic		0.47µF 25V		0.0618		0.0171	08053D474MAT	AVX	Avnet IP&E			Panasonic								C0805R	C3	 
2	Capacitor,Ceramic,X7R,MultiLayer Monolithic		0.1uF ±10% 50V	062061	0.01820	0.00990	0.004	GRM188R71H104KA93D	muRata	Avnet/Digi-Key											C0603R	C4 C5	http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71H104KA93-01.pdf
3	Capacitor,Ceramic,X5R,MultiLayer Monolithic,0402,Automotive		2.2µF ±10% 25V	062365	0.1104	0.06486	0.04830	GRT155R61E225KE13D	muRata	DigiKey/Avnet											C0402R	C1 C2 C6	http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R61E225KE11-01.pdf
1	Diode,TVS,600W,Unidirectional		5Vrwm		0.1663	0.10474	0.08317	SMA6J5.0A	Bourns	Digi-Key/Avnet											SMA	D1	https://www.bourns.com/docs/product-datasheets/sma6j.pdf
1	LED,Chip,0603,Red		625nm	002213	0.05460	0.04370		LS Q971	Osram	Allied/Avnet/Digi-Key				Avnet							0603-.8x.85	D3	http://www.osram-os.com/Graphics/XPic9/00128774_0.pdf/LS%20Q971%20-%20CHIPLED%200603.pdf
1	SOM,Arduino,Mini,RobotDyn Pro Version							ProMINI-ATmega328P-5V	RobotDyn												ROBOTDYN_PROMINI	MOD1	 https://robotdyn.com/pub/media/0G-00006155==ProMINI-ATmega328P(10PCS)-USBCH340-KIT/DOCS/DIM==0G-00004034==ProMINI-ATmega328P.pdf
1	Printed circuit board, FR4, 0.0625 thick, 2 Layer							1700-7SEG-0.00	none	any				any							none	PCB4	 
1	Resistor,Surface Mount,0603,1%,+/- 100ppm		1.00k½ 1%			.01711	0.005	CRCW06031K00FK	Vishay	Avnet		ERJ3EKF1001	Panasonic	Avnet		CR0603FX1001ELF	Bourns	Avnet			R0603R	R23	http://www.vishay.com/docs/20035/dcrcwe3.pdf
8	Resistor,Surface Mount,0603,1%,+/- 100ppm		2.21k½ 1%			.01711	0.005	CRCW06032K21FK	Vishay	Avnet		ERJ3EKF2211	Panasonic	Avnet		CR0603FX2211ELF	Bourns	Avnet			R0603R	R6 R15 R16 R17 R19 R20 R22 R24	http://www.vishay.com/docs/20035/dcrcwe3.pdf
1	Resistor,Surface Mount,0603,1%,+/- 100ppm		3.83k½ 1%			.01711	0.005	CRCW06033K83FK	Vishay	Avnet		ERJ3EKF3831	Panasonic	Avnet		CR0603FX3831ELF	Bourns	Avnet			R0603R	R25	http://www.vishay.com/docs/20035/dcrcwe3.pdf
1	Resistor,Surface Mount,0603,1%,+/- 100ppm		4.75k½ 1%			.01711	0.005	CRCW06034K75FK	Vishay	Avnet		ERJ3EKF4751	Panasonic	Avnet		CR0603FX4751ELF	Bourns	Avnet			R0603R	R27	http://www.vishay.com/docs/20035/dcrcwe3.pdf
1	Resistor,Surface Mount,0603,1%,+/- 100ppm		5.76k½ 1%			.01711	0.005	CRCW06035K76FK	Vishay	Avnet		ERJ3EKF5761	Panasonic	Avnet		CR0603FX5761ELF	Bourns	Avnet			R0603R	R26	http://www.vishay.com/docs/20035/dcrcwe3.pdf
6	Resistor,Surface Mount,0603,5%,+/- 200ppm		100k½ 5%			.01566	0.004	CRCW0603100KJN	Vishay	Avnet		CR0603JW104ELF	Bourns	Avnet		RMC1/16100K5%	Stackpole	Digi-Key			R0603R	R2 R3 R4 R5 R7 R21	http://www.vishay.com/docs/20008/dcrcw.pdf
9	Resistor,Surface Mount,0603,1%,+/- 100ppm		261½ 1%			.01711	0.005	CRCW0603261RFK	Vishay	Avnet		ERJ3EKF2610	Panasonic	Avnet		CR0603FX2610ELF	Bourns	Avnet			R0603R	R1 R8 R9 R10 R11 R12 R13 R14 R18	http://www.vishay.com/docs/20035/dcrcwe3.pdf
2	Switch,Pust Button,SMT,With Shield Pin				0.41140	0.28050	0.238	PTS830GG140G SMTR LFS	C & K Components	Avnet, Digi-Key											CK_PTS830_S	SW2 SW3	http://www.ckswitches.com/media/1478/pts830.pdf
1	Switch,DP4T,Slide,PC mount,Silver plate contacts,0.2" Actuator				3.69	3.39		L204011MS02Q	C&K Components	Newark,Mouser,Arrow											C_AND_K_L204--MS02	SW1	https://www.ckswitches.com/media/1423/l.pdf
1	Test Point,1206				0.10	0.067	0.057	RCWCTE	KOA Speer	Garrett Electronics		none		none							TESTPOINT_5015	TP1	http://www.koaspeer.com/pdfs/res33.pdf
1	IC.Linear,Charge Pump 5V Regulator				0.813	0.53025	0.47016	MP9361DJ-LF-Z	Monolithic Power	Avnet/Mouser											SOT23-6	U2	https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP9361DJ-LF-Z/document_id/1192/
	End of DRP report     Copyright (c) 2024 Robert Rau
